t,anomaly,location,latitude,longitude
1993-01-09,1,Atlantic City,39.356667,-74.418053
1993-01-09,1,Lewes,38.78278,-75.119164
1993-01-09,1,Sewells Point,36.946701,-76.330002
1993-01-10,1,Sewells Point,36.946701,-76.330002
1993-01-10,1,Atlantic City,39.356667,-74.418053
1993-01-10,1,Lewes,38.78278,-75.119164
1993-01-10,1,Sandy Hook,40.466944,-74.009444
1993-01-11,1,Washington,38.873,-77.0217
1993-02-07,1,Eastport,44.904598,-66.982903
1993-02-08,1,Eastport,44.904598,-66.982903
1993-02-13,1,Atlantic City,39.356667,-74.418053
1993-02-13,1,Sandy Hook,40.466944,-74.009444
1993-03-04,1,Washington,38.873,-77.0217
1993-03-04,1,Sandy Hook,40.466944,-74.009444
1993-03-04,1,Atlantic City,39.356667,-74.418053
1993-03-05,1,Atlantic City,39.356667,-74.418053
1993-03-05,1,Baltimore,39.266944,-76.579444
1993-03-05,1,Lewes,38.78278,-75.119164
1993-03-05,1,Washington,38.873,-77.0217
1993-03-05,1,Sandy Hook,40.466944,-74.009444
1993-03-06,1,Atlantic City,39.356667,-74.418053
1993-03-06,1,Washington,38.873,-77.0217
1993-03-07,1,Washington,38.873,-77.0217
1993-03-08,1,Eastport,44.904598,-66.982903
1993-03-08,1,Washington,38.873,-77.0217
1993-03-09,1,Eastport,44.904598,-66.982903
1993-03-10,1,Eastport,44.904598,-66.982903
1993-03-11,1,Eastport,44.904598,-66.982903
1993-03-12,1,Eastport,44.904598,-66.982903
1993-03-13,1,Sandy Hook,40.466944,-74.009444
1993-03-13,1,Lewes,38.78278,-75.119164
1993-03-13,1,Atlantic City,39.356667,-74.418053
1993-03-14,1,Sandy Hook,40.466944,-74.009444
1993-03-14,1,The Battery,40.700556,-74.014167
1993-03-14,1,Atlantic City,39.356667,-74.418053
1993-03-14,1,New London,41.361401,-72.089996
1993-03-26,1,Washington,38.873,-77.0217
1993-04-01,1,Washington,38.873,-77.0217
1993-04-02,1,Washington,38.873,-77.0217
1993-04-03,1,Washington,38.873,-77.0217
1993-04-06,1,Eastport,44.904598,-66.982903
1993-04-07,1,Eastport,44.904598,-66.982903
1993-04-07,1,Lewes,38.78278,-75.119164
1993-04-07,1,Washington,38.873,-77.0217
1993-04-07,1,Sewells Point,36.946701,-76.330002
